video,roundId,starttime,endtime,won,place,kills,playtime,tracefile,map_ui_position/scale,Unnamed: 10
/home/itec/philipp/nobackup/fn-new-videos/CleverNyx/20191208_96EaxsqT3kaciAmNS4pL9A_1575810412.mp4,7,01:10:43,01:12:54,0,100,0,00:02:11,round-20191208_96EaxsqT3kaciAmNS4pL9A_1575810412_7.csv,(1601x12)(1887x298),1.49
/home/itec/philipp/nobackup/fn-new-videos/CleverNyx/20191211_U91lc3JboUefJ-nTGYroew_1576038731.mp4,3,00:29:25,00:34:20,0,100,0,00:04:55,round-20191211_U91lc3JboUefJ-nTGYroew_1576038731_3.csv,(1544x12)(1830x298),1.444
/home/itec/philipp/nobackup/fn-new-videos/Flopysock/20191130_5hchg8-B20SyvYkF2RHWPg_1575076848.mp4,11,02:33:33,02:37:05,0,100,0,00:03:32,round-20191130_5hchg8-B20SyvYkF2RHWPg_1575076848_11.csv,(1526x11)(1812x297),1.43
/home/itec/philipp/nobackup/fn-new-videos/RedMenace/20191129_5NTeAXtTv0mCU0kB5TgjNg_1575029111.mp4,13,04:16:36,04:29:44,0,100,0,00:13:08,round-20191129_5NTeAXtTv0mCU0kB5TgjNg_1575029111_13.csv,(1531x51)(1817x337),1.513
/home/itec/philipp/nobackup/fn-new-videos/CleverNyx/20191211_U91lc3JboUefJ-nTGYroew_1576038731.mp4,4,00:38:01,00:43:45,0,100,0,00:05:44,round-20191211_U91lc3JboUefJ-nTGYroew_1576038731_4.csv,(1544x12)(1830x298),1.444
/home/itec/philipp/nobackup/fn-new-videos/StaySteezzy/20191211_GpvJrlPPWEqjiudkTbKdWA_1576031482.mp4,22,04:04:46,04:17:47,0,100,0,00:13:01,round-20191211_GpvJrlPPWEqjiudkTbKdWA_1576031482_22.csv,(1520x11)(1806x297),0.95
/home/itec/philipp/nobackup/fn-new-videos/CleverNyx/20191205_OAAjwCoGV0uThCr14E_pXA_1575586482.mp4,6,01:02:39,01:09:38,0,100,0,00:06:59,round-20191205_OAAjwCoGV0uThCr14E_pXA_1575586482_6.csv,(1601x12)(1887x298),1.49
/home/itec/philipp/nobackup/fn-new-videos/Flopysock/20191130_5hchg8-B20SyvYkF2RHWPg_1575076848.mp4,12,02:41:01,02:45:57,0,100,0,00:04:56,round-20191130_5hchg8-B20SyvYkF2RHWPg_1575076848_12.csv,(1526x11)(1812x297),1.43
/home/itec/philipp/nobackup/fn-new-videos/CleverNyx/20191206_oFmFoQTY-Ua2eBquel_i5A_1575665848.mp4,4,00:52:13,01:04:33,0,100,0,00:12:20,round-20191206_oFmFoQTY-Ua2eBquel_i5A_1575665848_4.csv,(1610x12)(1896x298),1.497
/home/itec/philipp/nobackup/fn-new-videos/RedMenace/20191129_5NTeAXtTv0mCU0kB5TgjNg_1575029111.mp4,14,04:31:39,04:45:00,0,100,0,00:13:21,round-20191129_5NTeAXtTv0mCU0kB5TgjNg_1575029111_14.csv,(1531x51)(1817x337),1.513
/home/itec/philipp/nobackup/fn-new-videos/CleverNyx/20191208_96EaxsqT3kaciAmNS4pL9A_1575810412.mp4,8,01:14:33,01:28:29,0,100,0,00:13:56,round-20191208_96EaxsqT3kaciAmNS4pL9A_1575810412_8.csv,(1601x12)(1887x298),1.49
/home/itec/philipp/nobackup/fn-new-videos/CleverNyx/20191206_oFmFoQTY-Ua2eBquel_i5A_1575665848.mp4,5,01:06:49,01:09:05,0,100,0,00:02:16,round-20191206_oFmFoQTY-Ua2eBquel_i5A_1575665848_5.csv,(1610x12)(1896x298),1.497
/home/itec/philipp/nobackup/fn-new-videos/CleverNyx/20191205_OAAjwCoGV0uThCr14E_pXA_1575586482.mp4,7,01:11:15,01:23:01,0,100,0,00:11:46,round-20191205_OAAjwCoGV0uThCr14E_pXA_1575586482_7.csv,(1601x12)(1887x298),1.49
/home/itec/philipp/nobackup/fn-new-videos/CleverNyx/20191208_96EaxsqT3kaciAmNS4pL9A_1575810412.mp4,9,01:30:11,01:32:28,0,100,0,00:02:17,round-20191208_96EaxsqT3kaciAmNS4pL9A_1575810412_9.csv,(1601x12)(1887x298),1.49
